model,MAE,RMSE,MASE,sMAPE
RWD,12.78887155955397,14.841496124677498,6.103014589690617,0.0834695216498289
ETS,12.818699858248575,14.892854372640114,6.110412794832527,0.08467037459643074
Theta,12.861983267772608,14.933843330713524,6.133074543337244,0.08454124333277666
Naive,12.909166666666666,14.985784142081997,6.147367003859701,0.08495860325853095
RF,13.132042724867722,15.187600625749923,6.281506560751991,0.08743034177932368
ARIMA,13.239372608953545,15.385068282131225,6.282519225415688,0.08534347759178791
GARCH,13.504768830475841,15.740182632238108,6.504283051657273,0.0895060869313593
Granite-TTM,13.841599889886442,16.08943027356679,6.550864370300328,0.09223100618590184
Ridge,14.68186948029534,17.159977834571503,6.872356652535594,0.10090276231124104
Prophet,22.68708608752148,24.994495352304874,10.60267378744222,0.15223734670991376
